id,email,username,password,firstName,lastName,fullName,description,profilePic,isMod,isObserver,isPuppet,instructions,suspicious,disabled,createdAt,updatedAt
1,sdvicto@observer.com,sdvicto,$2a$10$h6QT9DdjyO0lgE9LT2EqhO9qunOV3ne1a2r1xLYG3V3wKlFZZT6JW,SoCalVicki 🌻, ,SoCalVicki 🌻,"Stand for Truth, Justice and Liberty 👁️⚖️🗽 Mastodon: @sdvicto@universeodon.com            Post: @sdvicto",https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs1022724317930192998.png,False,True,False,https://docs.google.com/document/d/e/2PACX-1vTbR0xkO_c-Mv3h7qsKTSs2KeniQ4DHn8KFd_iChLPOzxmudEx8EuFazLpZzU628brEZL49GW7Sn48b/pub,False,False,2024-06-09 17:26:30.806000+00:00,2024-06-09 17:26:31.064207+00:00
2,mrpshropshire@observer.com,mrpshropshire,$2a$10$cveFjycpgXwdi0mhgWRe.OpfPNQu6gYw/jHbKPUKjlbXo9epfdyVu,Philip Shropshire, ,Philip Shropshire,#Progressive #popculture #comics #sciencefiction #politics Longtime writer/malcontent.  Viloud music vid channel back up at Three Rivers. Not sure for how long.,https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs1028584619187993725.png,False,True,False,https://docs.google.com/document/d/e/2PACX-1vTbR0xkO_c-Mv3h7qsKTSs2KeniQ4DHn8KFd_iChLPOzxmudEx8EuFazLpZzU628brEZL49GW7Sn48b/pub,False,False,2024-06-09 17:26:31.367000+00:00,2024-06-09 17:26:31.577753+00:00
39,b1e56df9ce6549f@dartpost.com,b1e56df9ce6549f,$2a$10$V6npRTkjAq59oETrcP64j.QqzobvFr0HQy7f3zp6vW6BrbS8Iycyu,MommaMarDee radical; healthcare as a Right⚖️🖤, ,MommaMarDee radical; healthcare as a Right⚖️🖤,"human being, person, individual, coen bros. character yet discovered, survivor, believer in Creator, Love at its best n worst, wonderer good at living irony",https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs1011371977583894374.png,False,False,False,https://docs.google.com/document/d/e/2PACX-1vRibWTlTJYsjFhc4V04gfBmLKNw4VgITajZYWDqF9WaO3mOsB-jPhDJTPebv7pRqTA909w_wdHtu-Th/pub,False,False,2024-06-09 17:26:51.554000+00:00,2024-06-09 17:26:51.750655+00:00
47,vader671@observer.com,Vader671,$2a$10$aygskf4Xgkhy7j4yvU500OEmLmP74sfyMtmTNZ1Mau3jT7vWhJ8Lq,Vader67, ,Vader67,“It’s no use going back to yesterday because I was a different person then.” ― Lewis Carroll,https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs1038846705999497416.png,False,True,False,https://docs.google.com/document/d/e/2PACX-1vTbR0xkO_c-Mv3h7qsKTSs2KeniQ4DHn8KFd_iChLPOzxmudEx8EuFazLpZzU628brEZL49GW7Sn48b/pub,False,False,2024-06-09 17:26:55.127000+00:00,2024-06-09 17:26:55.241206+00:00
55,m4_ved@observer.com,M4_VED,$2a$10$g8P26XeI.uzPBD4sLe/hXOH251jSH.z7DIAWEiIuMqiID2LtPnfp2,NamoBuddhay-sanatanayप्रचारक संस्कृतम्4_VED, ,NamoBuddhay-sanatanayप्रचारक संस्कृतम्4_VED,"mahendra4vedi Poet,Thinkr,Engg,World's Civilian,Teacher,Bodydonor[plz donate  blood,i,cells,bodyparts, body/medical purps #OMSriGanesaynamh #fb #rt #ff #ReadBio",https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs11096764340505821.png,False,True,False,https://docs.google.com/document/d/e/2PACX-1vTbR0xkO_c-Mv3h7qsKTSs2KeniQ4DHn8KFd_iChLPOzxmudEx8EuFazLpZzU628brEZL49GW7Sn48b/pub,False,False,2024-06-09 17:26:58.787000+00:00,2024-06-09 17:26:58.917850+00:00
63,patburns1977@dartpost.com,patburns1977,$2a$10$DmU8w4yT.MReVOlr9w31YOYdUVN6YM/WteL21/ITkwFwGof/5hSla,Trish True Blue Democrat #PresidentBiden, ,Trish True Blue Democrat #PresidentBiden,Vet daughter Vet Mom Proud Grandmom 🇺🇦🎄,https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs109957928771947348.png,False,False,False,https://docs.google.com/document/d/e/2PACX-1vRibWTlTJYsjFhc4V04gfBmLKNw4VgITajZYWDqF9WaO3mOsB-jPhDJTPebv7pRqTA909w_wdHtu-Th/pub,False,False,2024-06-09 17:27:02.606000+00:00,2024-06-09 17:27:02.808287+00:00
70,luizgilsonjr@observer.com,luizgilsonjr,$2a$10$d1ltPnAzg153XILvUW7aZeK6VeDpnYg4A21bcTmwt.OuE4GRxOIUO,Luiz Gilson Júnior ✊🏽 #Antifascista 1️⃣3️⃣ 🚩, ,Luiz Gilson Júnior ✊🏽 #Antifascista 1️⃣3️⃣ 🚩,"“Diante da vastidão do tempo e da imensidão do universo, é um imenso prazer para mim dividir um planeta e uma época com você.” Carl Sagan",https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs1009643635748549556.png,False,True,False,https://docs.google.com/document/d/e/2PACX-1vTbR0xkO_c-Mv3h7qsKTSs2KeniQ4DHn8KFd_iChLPOzxmudEx8EuFazLpZzU628brEZL49GW7Sn48b/pub,False,False,2024-06-09 17:27:06.152000+00:00,2024-06-09 17:27:06.395628+00:00
78,robmax4@observer.com,RobMax4,$2a$10$etkoZhjiSxOqJnKRhbL7s.yFkH/8I9bHs./EZERYjOtt1C3MdiVqu,Robert Maxwell, ,Robert Maxwell,"Thinker, dreamer, integral ecologist, father, husband, concerned citizen,ex-Chiropractor opal miner and lapidarist who loves travel and good  food.",https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs1044615665022593793.png,False,True,False,https://docs.google.com/document/d/e/2PACX-1vTbR0xkO_c-Mv3h7qsKTSs2KeniQ4DHn8KFd_iChLPOzxmudEx8EuFazLpZzU628brEZL49GW7Sn48b/pub,False,False,2024-06-09 17:27:10.069000+00:00,2024-06-09 17:27:10.286383+00:00
86,alephsmom@dartpost.com,AlephsMom,$2a$10$cUXO4NvKclMXFc1E1ovFXeYq901UpehqKSSLNCX3rOHrO5mKcryk.,kay quinn, ,kay quinn,#GunTotingLiberal #GunSenseNow #RaisingaGentleman #StillWithHer #KHive #BlackLivesMatter #ArrestSeditiousGOP #AZDbacks ❤️⚾️💙,https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs1031715164953913397.png,False,False,False,https://docs.google.com/document/d/e/2PACX-1vRibWTlTJYsjFhc4V04gfBmLKNw4VgITajZYWDqF9WaO3mOsB-jPhDJTPebv7pRqTA909w_wdHtu-Th/pub,False,False,2024-06-09 17:27:14.311000+00:00,2024-06-09 17:27:14.482900+00:00
94,dontomzy14@dartpost.com,dontomzy14,$2a$10$b5Nni5nYV8Kg5ViN2nItB./LSIM0JGKaQjyqTnzcaigst5FdRBgWK,Dontomzy14, ,Dontomzy14,@14_management. 👻/📸: Dontomzy14,https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs1010650140705296185.png,False,False,False,https://docs.google.com/document/d/e/2PACX-1vRibWTlTJYsjFhc4V04gfBmLKNw4VgITajZYWDqF9WaO3mOsB-jPhDJTPebv7pRqTA909w_wdHtu-Th/pub,False,False,2024-06-09 17:27:18.678000+00:00,2024-06-09 17:27:18.886064+00:00
403,slutforsnax@sockpuppet.com,slutforsnax,$2a$10$KI8NcMGTHxkgGPYlEQVN...m2qfBtcG5mCLKiaCtUbNaE0dTRiIuO,20% meaner, ,20% meaner,"off duty Lilac. 🖕🏽
(they/them)
follow @lilac_lust for the good stuff",https://botfarm-images.s3.us-east-2.amazonaws.com/profile_pics/cs1008390152393455283.png,False,False,True,https://docs.google.com/document/d/e/2PACX-1vROPXVpGX2ORWVyCMnUtU3H38O7Y9L9xM1E0QtA9QgNhXdk_99ogxNqv0Utx_wt013Iix2pDDjrqH7b/pub,False,False,2024-06-09 17:30:21.181000+00:00,2024-06-09 17:30:21.370731+00:00
